A,Quantity,Transaction,Store,Product
30000,2,93194,6,Magazine
30001,2,93194,6,Candy Bar
30002,2,93194,6,Candy Bar
30003,2,93194,6,Candy Bar
30004,2,93194,6,Candy Bar
30005,2,93197,1,Pencils
30006,1,93200,6,Candy Bar
30007,1,93200,6,Candy Bar
30008,1,93200,6,Candy Bar
30009,1,93200,6,Magazine
30010,1,93206,8,Magazine
30011,1,93206,8,Greeting Cards
30012,1,93206,8,Pencils
30013,1,93206,8,Pencils
30014,5,93212,4,Toothbrush
30015,1,93215,4,Candy Bar
30016,1,93215,4,Candy Bar
30017,1,93215,4,Greeting Cards
30018,8,93233,7,Toothbrush
30019,1,93239,5,Magazine
30020,1,93245,7,Candy Bar
30021,1,93248,1,Candy Bar
30022,4,93251,10,Magazine
30023,13,93251,10,Magazine
30024,14,93257,1,Magazine
30025,1,93260,1,Magazine
30026,10,93263,3,Magazine
30027,1,93263,3,Magazine
30028,2,93263,3,Magazine
30029,5,93263,3,Magazine
30030,3,93263,3,Magazine
30031,2,93263,3,Magazine
30032,3,93263,3,Magazine
30033,1,93263,3,Magazine
30034,1,93263,3,Magazine
30035,3,93263,3,Magazine
30036,2,93263,3,Magazine
30037,2,93263,3,Magazine
30038,8,93263,3,Magazine
30039,5,93263,3,Magazine
30040,1,93263,3,Magazine
30041,10,93263,3,Magazine
30042,1,93272,2,Candy Bar
30043,3,93278,3,Toothbrush
30044,2,93293,10,Pens
30045,1,93293,10,Soap
30046,1,93293,10,Soap
30047,1,93293,10,Soap
30048,1,93293,10,Soap
30049,1,93317,1,Pens
30050,1,93320,10,Soap
30051,1,93320,10,Photo Processing
30052,1,93323,1,Perfume
30053,3,93323,1,Perfume
30054,1,93332,2,Magazine
30055,2,93338,8,Pens
30056,1,93344,10,Soap
30057,1,93350,3,Candy Bar
30058,1,93356,7,Pens
30059,1,93362,3,Soap
30060,4,93371,8,Magazine
30061,2,93371,8,Magazine
30062,1,93371,8,Magazine
30063,1,93371,8,Magazine
30064,5,93371,8,Magazine
30065,2,93371,8,Magazine
30066,1,93371,8,Magazine
30067,7,93371,8,Magazine
30068,6,93371,8,Magazine
30069,3,93374,9,Magazine
30070,3,93380,8,Magazine
30071,1,93380,8,Magazine
30072,1,93383,4,Magazine
30073,3,93395,7,Magazine
30074,1,93398,3,Soap
30075,1,93398,3,Pens
30076,1,93413,6,Candy Bar
30077,1,93413,6,Candy Bar
30078,1,93416,10,Magazine
30079,1,93416,10,Magazine
30080,1,93422,10,Magazine
30081,1,93425,9,Pens
30082,1,93434,7,Magazine
30083,1,93443,9,Magazine
30084,1,93449,9,Toothbrush
30085,1,93449,9,Toothbrush
30086,1,93449,9,Pens
30087,1,93449,9,Pens
30088,1,93449,9,Pens
30089,1,93449,9,Pens
30090,1,93452,6,Pens
30091,1,93452,6,Pens
30092,1,93452,6,Pens
30093,1,93452,6,Pens
30094,1,93452,6,Toothbrush
30095,1,93452,6,Toothbrush
30096,4,93455,8,Pens
30097,3,93458,8,Soap
30098,8,93458,8,Toothbrush
30099,1,93464,5,Toothbrush
30100,1,93467,5,Toothbrush
30101,1,93479,1,Bow
30102,1,93479,1,Bow
30103,2,93479,1,Toothbrush
30104,1,93479,1,Toothbrush
30105,1,93479,1,Perfume
30106,1,93482,5,Bow
30107,2,93488,10,Magazine
30108,2,93488,10,Magazine
30109,4,93488,10,Magazine
30110,1,93488,10,Magazine
30111,1,93488,10,Magazine
30112,4,93488,10,Magazine
30113,4,93488,10,Magazine
30114,1,93488,10,Magazine
30115,21,93488,10,Magazine
30116,2,93488,10,Magazine
30117,5,93494,9,Magazine
30118,1,93497,10,Magazine
30119,1,93500,4,Magazine
30120,1,93500,4,Magazine
30121,3,93500,4,Magazine
30122,1,93500,4,Magazine
30123,2,93500,4,Magazine
30124,1,93500,4,Magazine
30125,6,93500,4,Magazine
30126,1,93500,4,Magazine
30127,1,93500,4,Magazine
30128,3,93500,4,Magazine
30129,1,93500,4,Magazine
30130,2,93500,4,Magazine
30131,1,93500,4,Magazine
30132,9,93500,4,Magazine
30133,4,93500,4,Magazine
30134,1,93500,4,Magazine
30135,8,93500,4,Magazine
30136,1,93500,4,Magazine
30137,1,93500,4,Magazine
30138,1,93500,4,Magazine
30139,4,93500,4,Magazine
30140,26,93500,4,Magazine
30141,1,93500,4,Magazine
30142,12,93506,4,Toothbrush
30143,4,93506,4,Toothbrush
30144,2,93506,4,Bow
30145,2,93506,4,Bow
30146,2,93506,4,Bow
30147,2,93506,4,Bow
30148,2,93506,4,Bow
30149,1,93512,9,Bow
30150,1,93515,2,Pens
30151,4,93524,8,Toothbrush
30152,1,93527,3,Pens
30153,1,93530,7,Perfume
30154,1,93536,5,Bow
30155,1,93539,5,Bow
30156,1,93542,2,Bow
30157,1,93542,2,Bow
30158,1,93545,8,Bow
30159,1,93545,8,Bow
30160,2,93560,9,Toothbrush
30161,1,93563,3,Pens
30162,2,93569,3,Magazine
30163,4,93575,6,Toothbrush
30164,4,93575,6,Bow
30165,4,93575,6,Bow
30166,1,93578,10,Pencils
30167,1,93578,10,Toothpaste
30168,1,93578,10,Toothpaste
30169,1,93578,10,Toothpaste
30170,1,93587,3,Pencils
30171,1,93587,3,Pencils
30172,1,93587,3,Pencils
30173,5,93590,1,Soap
30174,1,93596,10,Pens
30175,1,93605,6,Pens
30176,1,93605,6,Pens
30177,1,93611,9,Shampoo
30178,7,93626,6,Shampoo
30179,3,93629,8,Shampoo
30180,1,93632,6,Pens
30181,3,93632,6,Pens
30182,3,93632,6,Pens
30183,2,93638,3,Bow
30184,1,93650,5,Perfume
30185,1,93653,3,Perfume
30186,1,93653,3,Pens
30187,1,93659,2,Toothbrush
30188,3,93662,3,Bow
30189,1,93665,9,Pens
30190,1,93668,4,Magazine
30191,1,93680,4,Pens
30192,3,93680,4,Pens
30193,1,93689,1,Magazine
30194,1,93689,1,Magazine
30195,1,93695,1,Pencils
30196,1,93698,3,Pencils
30197,2,93704,2,Candy Bar
30198,2,93704,2,Candy Bar
30199,2,93704,2,Candy Bar
30200,1,93707,1,Pencils
30201,9,93710,8,Greeting Cards
30202,9,93710,8,Greeting Cards
30203,9,93710,8,Greeting Cards
30204,2,93713,4,Candy Bar
30205,1,93716,5,Candy Bar
30206,1,93716,5,Candy Bar
30207,1,93719,4,Pencils
30208,1,93719,4,Candy Bar
30209,1,93719,4,Candy Bar
30210,1,93725,9,Candy Bar
30211,1,93725,9,Candy Bar
30212,1,93728,9,Greeting Cards
30213,2,93731,5,Greeting Cards
30214,3,93731,5,Candy Bar
30215,3,93731,5,Candy Bar
30216,1,93731,5,Pencils
30217,1,93734,1,Pencils
30218,1,93734,1,Candy Bar
30219,1,93734,1,Candy Bar
30220,2,93740,10,Greeting Cards
30221,1,93746,10,Candy Bar
30222,1,93746,10,Candy Bar
30223,1,93746,10,Pencils
30224,3,93749,2,Greeting Cards
30225,2,93752,7,Pencils
30226,2,93752,7,Pencils
30227,1,93755,2,Magazine
30228,1,93755,2,Shampoo
30229,2,93755,2,Shampoo
30230,1,93758,1,Greeting Cards
30231,2,93773,8,Bow
30232,1,93776,1,Perfume
30233,1,93779,4,Bow
30234,1,93782,5,Magazine
30235,1,93782,5,Greeting Cards
30236,1,93782,5,Pencils
30237,1,93785,8,Greeting Cards
30238,1,93797,10,Perfume
30239,6,93800,6,Perfume
30240,9,93800,6,Perfume
30241,1,93812,10,Perfume
30242,2,93815,4,Perfume
30243,1,93815,4,Perfume
30244,4,93818,7,Perfume
30245,2,93818,7,Perfume
30246,1,93818,7,Magazine
30247,4,93818,7,Magazine
30248,1,93818,7,Magazine
30249,1,93818,7,Pens
30250,1,93821,7,Toothbrush
30251,7,93824,4,Toothbrush
30252,1,93827,6,Perfume
30253,1,93827,6,Pens
30254,1,93836,10,Toothpaste
30255,1,93836,10,Toothpaste
30256,1,93836,10,Toothpaste
30257,1,93842,9,Pens
30258,1,93842,9,Pens
30259,1,93845,9,Magazine
30260,1,93848,1,Pencils
30261,1,93848,1,Pencils
30262,1,93851,2,Pencils
30263,1,93851,2,Greeting Cards
30264,1,93851,2,Magazine
30265,1,93860,2,Pencils
30266,1,93860,2,Candy Bar
30267,4,93863,10,Toothbrush
30268,24,93863,10,Perfume
30269,24,93863,10,Perfume
30270,2,93863,10,Toothpaste
30271,3,93863,10,Toothpaste
30272,3,93863,10,Toothpaste
30273,3,93863,10,Toothpaste
30274,3,93863,10,Toothpaste
30275,7,93863,10,Toothpaste
30276,2,93863,10,Toothpaste
30277,1,93872,7,Toothpaste
30278,1,93872,7,Toothpaste
30279,1,93875,9,Perfume
30280,1,93881,2,Soap
30281,1,93893,10,Bow
30282,1,93902,7,Photo Processing
30283,8,93902,7,Photo Processing
30284,3,93911,6,Bow
30285,1,93914,3,Bow
30286,2,93920,1,Perfume
30287,4,93920,1,Toothbrush
30288,4,93929,2,Toothbrush
30289,5,93935,5,Toothbrush
30290,5,93950,4,Bow
30291,1,93959,5,Magazine
30292,1,93959,5,Magazine
30293,1,93959,5,Bow
30294,1,93962,8,Candy Bar
30295,1,93962,8,Candy Bar
30296,1,93962,8,Magazine
30297,1,93962,8,Magazine
30298,1,93962,8,Toothpaste
30299,1,93962,8,Toothpaste
30300,1,93965,9,Magazine
30301,1,93968,6,Magazine
30302,1,93968,6,Photo Processing
30303,1,93971,9,Magazine
30304,1,93971,9,Bow
30305,1,93971,9,Bow
30306,1,93971,9,Bow
30307,8,93971,9,Bow
30308,4,93971,9,Toothpaste
30309,1,93971,9,Toothpaste
30310,1,93971,9,Toothpaste
30311,1,93971,9,Toothpaste
30312,2,93971,9,Toothpaste
30313,1,93977,5,Toothpaste
30314,1,93977,5,Toothpaste
30315,4,93977,5,Magazine
30316,12,93995,4,Bow
30317,4,94001,4,Bow
30318,1,94001,4,Magazine
30319,1,94004,6,Magazine
30320,4,94004,6,Bow
30321,1,94004,6,Bow
30322,1,94004,6,Bow
30323,1,94004,6,Bow
30324,1,94004,6,Bow
30325,1,94004,6,Photo Processing
30326,4,94004,6,Toothbrush
30327,5,94010,4,Bow
30328,3,94010,4,Bow
30329,1,94022,3,Magazine
30330,1,94022,3,Magazine
30331,5,94022,3,Deodorant
30332,1,94022,3,Candy Bar
30333,2,94028,6,Greeting Cards
30334,1,94034,1,Shampoo
30335,2,94040,6,Toothbrush
30336,1,94040,6,Magazine
30337,1,94055,2,Markers
30338,1,94076,6,Greeting Cards
30339,1,94079,4,Toothpaste
30340,1,94082,8,Markers
30341,4,94082,8,Markers
30342,1,94088,4,Magazine
30343,1,94088,4,Candy Bar
30344,1,94088,4,Pencils
30345,1,94094,9,Greeting Cards
30346,1,94109,6,Photo Processing
30347,1,94109,6,Photo Processing
30348,1,94112,10,Toothbrush
30349,1,94115,10,Toothbrush
30350,1,94115,10,Toothpaste
30351,1,94115,10,Toothpaste
30352,1,94115,10,Pencils
30353,1,94115,10,Magazine
30354,1,94115,10,Candy Bar
30355,1,94115,10,Candy Bar
30356,2,94118,6,Toothbrush
30357,1,94118,6,Magazine
30358,1,94124,10,Bow
30359,3,94130,10,Photo Processing
30360,1,94136,4,Greeting Cards
30361,1,94136,4,Shampoo
30362,4,94136,4,Shampoo
30363,1,94136,4,Candy Bar
30364,4,94145,8,Pens
30365,1,94151,7,Greeting Cards
30366,1,94154,1,Greeting Cards
30367,1,94157,5,Pencils
30368,3,94169,2,Pens
30369,1,94172,6,Toothpaste
30370,1,94172,6,Candy Bar
30371,1,94172,6,Candy Bar
30372,1,94175,6,Candy Bar
30373,1,94181,6,Candy Bar
30374,2,94187,6,Perfume
30375,1,94187,6,Perfume
30376,6,94196,1,Toothpaste
30377,4,94196,1,Toothpaste
30378,3,94196,1,Toothpaste
30379,5,94196,1,Toothpaste
30380,10,94196,1,Magazine
30381,3,94196,1,Magazine
30382,10,94196,1,Toothbrush
30383,10,94196,1,Toothbrush
30384,1,94199,5,Toothpaste
30385,1,94199,5,Toothpaste
30386,1,94199,5,Magazine
30387,6,94205,5,Toothpaste
30388,12,94205,5,Toothpaste
30389,7,94205,5,Toothbrush
30390,1,94211,7,Magazine
30391,2,94220,1,Toothbrush
30392,4,94223,4,Magazine
30393,3,94223,4,Perfume
30394,2,94235,7,Greeting Cards
30395,2,94235,7,Greeting Cards
30396,2,94235,7,Greeting Cards
30397,2,94238,6,Perfume
30398,2,94238,6,Perfume
30399,1,94244,4,Greeting Cards
30400,1,94247,4,Greeting Cards
30401,2,94259,5,Toothpaste
30402,1,94262,4,Toothpaste
30403,1,94262,4,Toothpaste
30404,1,94262,4,Greeting Cards
30405,1,94265,10,Greeting Cards
30406,2,94274,4,Pens
30407,2,94277,2,Pens
30408,1,94289,2,Toothpaste
30409,1,94289,2,Toothpaste
30410,2,94289,2,Greeting Cards
30411,1,94292,8,Magazine
30412,1,94301,6,Candy Bar
30413,1,94301,6,Toothpaste
30414,1,94304,4,Perfume
30415,10,94307,3,Magazine
30416,1,94310,8,Candy Bar
30417,1,94316,9,Toothpaste
30418,10,94319,5,Pens
30419,1,94322,5,Pens
30420,10,94331,8,Pens
30421,25,94340,8,Candy Bar
30422,1,94343,6,Candy Bar
30423,1,94343,6,Toothpaste
30424,1,94343,6,Greeting Cards
30425,6,94346,4,Candy Bar
30426,6,94346,4,Candy Bar
30427,1,94355,7,Candy Bar
30428,1,94355,7,Toothpaste
30429,1,94355,7,Greeting Cards
30430,1,94358,4,Greeting Cards
30431,1,94358,4,Candy Bar
30432,1,94358,4,Candy Bar
30433,1,94358,4,Candy Bar
